hedge,sentence,gold,hedge_gold,worker_id,hedge_judgement
puede,"Esta que expones es una tonica muy comun en la generalidad, pero el humanismo es innato y terminas por sufrir por y para ayudar a los demas, porque X grupo/persona te la <strong>puede</strong> pelar, y de la misma manera tambien Y, pero siempre encuentras a alguien que lo merece (de eso se trata), y si no lo haces, el que no merece vivir eres tu mismo.",FALSE,FALSE,A3OFOYB4X0HA0M,FALSE
casi,Hasta ahora hemos presentado las cosas como si las diferentes fuerzas luchasen y se sucediesen en relación aun objeto <strong>casi</strong> inerte.,FALSE,FALSE,A3OFOYB4X0HA0M,TRUE
sin duda,"Hemos hablado también de asesinato, de cuando son personas los niños... pero <strong>sin duda</strong> a la madre le tiene que doler muchísimo renunciar a su condición de mamá por causas externas como las explicadas anteriormente, o porque la sociedad las estrangule tanto que esa sea su única salida.",TRUE,TRUE,AEN7H01OU26XL,TRUE
particularmente,"Yo, <strong>particularmente</strong> estaría más de acuerdo con Hume; empirista que contrapone que la mente es como un libro en blanco.",FALSE,FALSE,AEN7H01OU26XL,FALSE
probablemente,"Sobre la inteligencia, una vez existe la cultura la inteligencia de una sociedad queda parcialmente desligada de la su genética, pues esta dispone de una herramienta ajena a ella (sí, una ""raza"" podria adoptar la cultura de otra y <strong>probablemente </strong>los roles de superioridad intelectual se verían invertidos), la cultura se convierte en un handicap, un gimnasio cerebral para pdoer desarrollar inteligencia (la cual no es nata por lo que no pertenece a la base genética), pero esta inteligencia desarrollada, no va a influir practicamente en la descendencia, sólo la hará desarrollar la suya mas rápido (pues su ambiente es más avanzado que el de su ascendencia).",FALSE,FALSE,AEN7H01OU26XL,TRUE
frecuentemente,"De hecho, que nos sintamos felices o desdichados en un momento determinado <strong>frecuentemente</strong> tiene que ver sobre todo con la forma de percibir nues­tra situación, con lo satisfechos que nos sintamos con lo que tene­mos actualmente.",FALSE,FALSE,AEN7H01OU26XL,TRUE
supongo,"Sí reconozco que me da sentimiento cuando hay enfrentamientos, pero <strong>supongo</strong> que es inevitable y yo los he tenido.",FALSE,FALSE,AEN7H01OU26XL,TRUE
basicamente,"en cuanto a las facetas fundamentales de la existencia objeto de su interés, atienden <strong>basicamente</strong> a la dimensión de la finitud en el mundo humano: la temporalidad, la muerte, la culpa, la fragilidad de la existencia, la responsabilidad, el compromiso, la autenticidad, la subjetividad, la libertad,...",FALSE,FALSE,AEN7H01OU26XL,FALSE
poco,"Cree lo que quieras, realmente me importa <strong>poco</strong> y nada lo que pienses fuera del foro.",FALSE,FALSE,AEN7H01OU26XL,FALSE
aparentemente,Los animales poseen sentimientos e inteligencia (no a nuestro nivel <strong>aparentemente</strong>).,FALSE,FALSE,AEN7H01OU26XL,TRUE
puede,"Esta que expones es una tonica muy comun en la generalidad, pero el humanismo es innato y terminas por sufrir por y para ayudar a los demas, porque X grupo/persona te la <strong>puede</strong> pelar, y de la misma manera tambien Y, pero siempre encuentras a alguien que lo merece (de eso se trata), y si no lo haces, el que no merece vivir eres tu mismo.",FALSE,FALSE,AEN7H01OU26XL,FALSE
casi,Hasta ahora hemos presentado las cosas como si las diferentes fuerzas luchasen y se sucediesen en relación aun objeto <strong>casi</strong> inerte.,FALSE,FALSE,AEN7H01OU26XL,FALSE
sin duda,"Hemos hablado también de asesinato, de cuando son personas los niños... pero <strong>sin duda</strong> a la madre le tiene que doler muchísimo renunciar a su condición de mamá por causas externas como las explicadas anteriormente, o porque la sociedad las estrangule tanto que esa sea su única salida.",TRUE,TRUE,A25SGBOJZLYBJO,TRUE
particularmente,"Yo, <strong>particularmente</strong> estaría más de acuerdo con Hume; empirista que contrapone que la mente es como un libro en blanco.",FALSE,FALSE,A25SGBOJZLYBJO,TRUE
probablemente,"Sobre la inteligencia, una vez existe la cultura la inteligencia de una sociedad queda parcialmente desligada de la su genética, pues esta dispone de una herramienta ajena a ella (sí, una ""raza"" podria adoptar la cultura de otra y <strong>probablemente </strong>los roles de superioridad intelectual se verían invertidos), la cultura se convierte en un handicap, un gimnasio cerebral para pdoer desarrollar inteligencia (la cual no es nata por lo que no pertenece a la base genética), pero esta inteligencia desarrollada, no va a influir practicamente en la descendencia, sólo la hará desarrollar la suya mas rápido (pues su ambiente es más avanzado que el de su ascendencia).",FALSE,FALSE,A25SGBOJZLYBJO,FALSE
frecuentemente,"De hecho, que nos sintamos felices o desdichados en un momento determinado <strong>frecuentemente</strong> tiene que ver sobre todo con la forma de percibir nues­tra situación, con lo satisfechos que nos sintamos con lo que tene­mos actualmente.",FALSE,FALSE,A25SGBOJZLYBJO,TRUE
supongo,"Sí reconozco que me da sentimiento cuando hay enfrentamientos, pero <strong>supongo</strong> que es inevitable y yo los he tenido.",FALSE,FALSE,A25SGBOJZLYBJO,FALSE
basicamente,"en cuanto a las facetas fundamentales de la existencia objeto de su interés, atienden <strong>basicamente</strong> a la dimensión de la finitud en el mundo humano: la temporalidad, la muerte, la culpa, la fragilidad de la existencia, la responsabilidad, el compromiso, la autenticidad, la subjetividad, la libertad,...",FALSE,FALSE,A25SGBOJZLYBJO,TRUE
poco,"Cree lo que quieras, realmente me importa <strong>poco</strong> y nada lo que pienses fuera del foro.",FALSE,FALSE,A25SGBOJZLYBJO,FALSE
aparentemente,Los animales poseen sentimientos e inteligencia (no a nuestro nivel <strong>aparentemente</strong>).,FALSE,FALSE,A25SGBOJZLYBJO,TRUE
puede,"Esta que expones es una tonica muy comun en la generalidad, pero el humanismo es innato y terminas por sufrir por y para ayudar a los demas, porque X grupo/persona te la <strong>puede</strong> pelar, y de la misma manera tambien Y, pero siempre encuentras a alguien que lo merece (de eso se trata), y si no lo haces, el que no merece vivir eres tu mismo.",FALSE,FALSE,A25SGBOJZLYBJO,FALSE
casi,Hasta ahora hemos presentado las cosas como si las diferentes fuerzas luchasen y se sucediesen en relación aun objeto <strong>casi</strong> inerte.,FALSE,FALSE,A25SGBOJZLYBJO,FALSE
quiza,"No lo creo, <strong>quiza</strong> te estés refiriendo a estar satisfecho con tu vida, eso si se puede controlar mas.",TRUE,FALSE,A8PI5IDB1JWDL,TRUE
diria,"En cualquier caso, lo que hace que triunfe una persona, concluyendo, <strong>diria</strong> que es al margen de si es cualitativamente mejor o peor.",FALSE,FALSE,A8PI5IDB1JWDL,TRUE
bastantes,"Por lo tanto hay situaciones, no todas, pero sí <strong>bastantes</strong>, en que colaborar es la opción inteligente y se puede demostrar formalmente.",FALSE,FALSE,A8PI5IDB1JWDL,FALSE
alguna,Muchas veces sin practica <strong>alguna</strong> se hacen descubrimientos operando sobre la teoria que luego son verificados por la practica mas tarde.,FALSE,FALSE,A8PI5IDB1JWDL,FALSE
un par,"No tienes por que creerme a mi, aca te pongo <strong>un par</strong> de referencias (solo una cantidad infima, de la inmensidad de publicaciones, papers, libros, etc, que se escribio sobre teoria del caos, sistemas complejos, redes complejas, grafos, sistemas dinamicos, teoria de la informacion, y demas temas relacionados):",FALSE,FALSE,A8PI5IDB1JWDL,TRUE
espero,"realmente no creo que todo el mundo tenga ese impulso, yo no lo tengo, aunque lo tuve, ahora desde que tengo mas conocimientos y se lo que verdaderamente es necesario para mi felicidad, solo deseo controlarme mas a mi y a mi voluntad, el mundo que me rodea cada vez me importa menos y <strong>espero</strong> que siga asi hasta que llegue un punto en el que no me importe nada",FALSE,FALSE,A8PI5IDB1JWDL,TRUE
creo,Si existiera tal ser nos pondría a muchos en susitio <strong>creo</strong> yo xD.,FALSE,FALSE,A8PI5IDB1JWDL,TRUE
algunos,"Pero no me gusta que estos conceptos sean tomados como las ultimas verdades,porque si bien es cierto se puede ser complaciente con <strong>algunos</strong> se es incomplaciente con otros.",FALSE,FALSE,A8PI5IDB1JWDL,FALSE
hay quien,"En realidad estoy solo siguiéndole el diálogo a Luxfero, pero en realidad no le obedecería a nadie que use solo el artificio de sus sesos para subyugarme, porque creo que no <strong>hay quien</strong> me venza, si no es antes por mi oratoria será después por mi obstinación que triunfaré.",FALSE,FALSE,A8PI5IDB1JWDL,FALSE
necesariamente,"Lo cual no significa que uno <strong>necesariamente</strong> quiera darle validez a todas las ""verdades"" que existen.",FALSE,FALSE,A8PI5IDB1JWDL,TRUE
quiza,"No lo creo, <strong>quiza</strong> te estés refiriendo a estar satisfecho con tu vida, eso si se puede controlar mas.",TRUE,FALSE,A9QHJGVFE2NVE,FALSE
diria,"En cualquier caso, lo que hace que triunfe una persona, concluyendo, <strong>diria</strong> que es al margen de si es cualitativamente mejor o peor.",FALSE,FALSE,A9QHJGVFE2NVE,TRUE
bastantes,"Por lo tanto hay situaciones, no todas, pero sí <strong>bastantes</strong>, en que colaborar es la opción inteligente y se puede demostrar formalmente.",FALSE,FALSE,A9QHJGVFE2NVE,FALSE
alguna,Muchas veces sin practica <strong>alguna</strong> se hacen descubrimientos operando sobre la teoria que luego son verificados por la practica mas tarde.,FALSE,FALSE,A9QHJGVFE2NVE,FALSE
un par,"No tienes por que creerme a mi, aca te pongo <strong>un par</strong> de referencias (solo una cantidad infima, de la inmensidad de publicaciones, papers, libros, etc, que se escribio sobre teoria del caos, sistemas complejos, redes complejas, grafos, sistemas dinamicos, teoria de la informacion, y demas temas relacionados):",FALSE,FALSE,A9QHJGVFE2NVE,TRUE
espero,"realmente no creo que todo el mundo tenga ese impulso, yo no lo tengo, aunque lo tuve, ahora desde que tengo mas conocimientos y se lo que verdaderamente es necesario para mi felicidad, solo deseo controlarme mas a mi y a mi voluntad, el mundo que me rodea cada vez me importa menos y <strong>espero</strong> que siga asi hasta que llegue un punto en el que no me importe nada",FALSE,FALSE,A9QHJGVFE2NVE,TRUE
creo,Si existiera tal ser nos pondría a muchos en susitio <strong>creo</strong> yo xD.,FALSE,FALSE,A9QHJGVFE2NVE,FALSE
algunos,"Pero no me gusta que estos conceptos sean tomados como las ultimas verdades,porque si bien es cierto se puede ser complaciente con <strong>algunos</strong> se es incomplaciente con otros.",FALSE,FALSE,A9QHJGVFE2NVE,FALSE
hay quien,"En realidad estoy solo siguiéndole el diálogo a Luxfero, pero en realidad no le obedecería a nadie que use solo el artificio de sus sesos para subyugarme, porque creo que no <strong>hay quien</strong> me venza, si no es antes por mi oratoria será después por mi obstinación que triunfaré.",FALSE,FALSE,A9QHJGVFE2NVE,FALSE
necesariamente,"Lo cual no significa que uno <strong>necesariamente</strong> quiera darle validez a todas las ""verdades"" que existen.",FALSE,FALSE,A9QHJGVFE2NVE,FALSE
quiza,"No lo creo, <strong>quiza</strong> te estés refiriendo a estar satisfecho con tu vida, eso si se puede controlar mas.",TRUE,FALSE,A1QYQHXCJ11UXG,TRUE
diria,"En cualquier caso, lo que hace que triunfe una persona, concluyendo, <strong>diria</strong> que es al margen de si es cualitativamente mejor o peor.",FALSE,FALSE,A1QYQHXCJ11UXG,FALSE
bastantes,"Por lo tanto hay situaciones, no todas, pero sí <strong>bastantes</strong>, en que colaborar es la opción inteligente y se puede demostrar formalmente.",FALSE,FALSE,A1QYQHXCJ11UXG,TRUE
alguna,Muchas veces sin practica <strong>alguna</strong> se hacen descubrimientos operando sobre la teoria que luego son verificados por la practica mas tarde.,FALSE,FALSE,A1QYQHXCJ11UXG,TRUE
un par,"No tienes por que creerme a mi, aca te pongo <strong>un par</strong> de referencias (solo una cantidad infima, de la inmensidad de publicaciones, papers, libros, etc, que se escribio sobre teoria del caos, sistemas complejos, redes complejas, grafos, sistemas dinamicos, teoria de la informacion, y demas temas relacionados):",FALSE,FALSE,A1QYQHXCJ11UXG,FALSE
espero,"realmente no creo que todo el mundo tenga ese impulso, yo no lo tengo, aunque lo tuve, ahora desde que tengo mas conocimientos y se lo que verdaderamente es necesario para mi felicidad, solo deseo controlarme mas a mi y a mi voluntad, el mundo que me rodea cada vez me importa menos y <strong>espero</strong> que siga asi hasta que llegue un punto en el que no me importe nada",FALSE,FALSE,A1QYQHXCJ11UXG,FALSE
creo,Si existiera tal ser nos pondría a muchos en susitio <strong>creo</strong> yo xD.,FALSE,FALSE,A1QYQHXCJ11UXG,FALSE
algunos,"Pero no me gusta que estos conceptos sean tomados como las ultimas verdades,porque si bien es cierto se puede ser complaciente con <strong>algunos</strong> se es incomplaciente con otros.",FALSE,FALSE,A1QYQHXCJ11UXG,TRUE
hay quien,"En realidad estoy solo siguiéndole el diálogo a Luxfero, pero en realidad no le obedecería a nadie que use solo el artificio de sus sesos para subyugarme, porque creo que no <strong>hay quien</strong> me venza, si no es antes por mi oratoria será después por mi obstinación que triunfaré.",FALSE,FALSE,A1QYQHXCJ11UXG,TRUE
necesariamente,"Lo cual no significa que uno <strong>necesariamente</strong> quiera darle validez a todas las ""verdades"" que existen.",FALSE,FALSE,A1QYQHXCJ11UXG,FALSE
quiza,"No lo creo, <strong>quiza</strong> te estés refiriendo a estar satisfecho con tu vida, eso si se puede controlar mas.",TRUE,FALSE,AEN7H01OU26XL,FALSE
diria,"En cualquier caso, lo que hace que triunfe una persona, concluyendo, <strong>diria</strong> que es al margen de si es cualitativamente mejor o peor.",FALSE,FALSE,AEN7H01OU26XL,TRUE
bastantes,"Por lo tanto hay situaciones, no todas, pero sí <strong>bastantes</strong>, en que colaborar es la opción inteligente y se puede demostrar formalmente.",FALSE,FALSE,AEN7H01OU26XL,TRUE
alguna,Muchas veces sin practica <strong>alguna</strong> se hacen descubrimientos operando sobre la teoria que luego son verificados por la practica mas tarde.,FALSE,FALSE,AEN7H01OU26XL,FALSE
un par,"No tienes por que creerme a mi, aca te pongo <strong>un par</strong> de referencias (solo una cantidad infima, de la inmensidad de publicaciones, papers, libros, etc, que se escribio sobre teoria del caos, sistemas complejos, redes complejas, grafos, sistemas dinamicos, teoria de la informacion, y demas temas relacionados):",FALSE,FALSE,AEN7H01OU26XL,TRUE
espero,"realmente no creo que todo el mundo tenga ese impulso, yo no lo tengo, aunque lo tuve, ahora desde que tengo mas conocimientos y se lo que verdaderamente es necesario para mi felicidad, solo deseo controlarme mas a mi y a mi voluntad, el mundo que me rodea cada vez me importa menos y <strong>espero</strong> que siga asi hasta que llegue un punto en el que no me importe nada",FALSE,FALSE,AEN7H01OU26XL,TRUE
creo,Si existiera tal ser nos pondría a muchos en susitio <strong>creo</strong> yo xD.,FALSE,FALSE,AEN7H01OU26XL,TRUE
algunos,"Pero no me gusta que estos conceptos sean tomados como las ultimas verdades,porque si bien es cierto se puede ser complaciente con <strong>algunos</strong> se es incomplaciente con otros.",FALSE,FALSE,AEN7H01OU26XL,TRUE
hay quien,"En realidad estoy solo siguiéndole el diálogo a Luxfero, pero en realidad no le obedecería a nadie que use solo el artificio de sus sesos para subyugarme, porque creo que no <strong>hay quien</strong> me venza, si no es antes por mi oratoria será después por mi obstinación que triunfaré.",FALSE,FALSE,AEN7H01OU26XL,TRUE
necesariamente,"Lo cual no significa que uno <strong>necesariamente</strong> quiera darle validez a todas las ""verdades"" que existen.",FALSE,FALSE,AEN7H01OU26XL,TRUE
quiza,"No lo creo, <strong>quiza</strong> te estés refiriendo a estar satisfecho con tu vida, eso si se puede controlar mas.",TRUE,FALSE,A26Y4BFHJE7MN4,TRUE
diria,"En cualquier caso, lo que hace que triunfe una persona, concluyendo, <strong>diria</strong> que es al margen de si es cualitativamente mejor o peor.",FALSE,FALSE,A26Y4BFHJE7MN4,FALSE
bastantes,"Por lo tanto hay situaciones, no todas, pero sí <strong>bastantes</strong>, en que colaborar es la opción inteligente y se puede demostrar formalmente.",FALSE,FALSE,A26Y4BFHJE7MN4,FALSE
alguna,Muchas veces sin practica <strong>alguna</strong> se hacen descubrimientos operando sobre la teoria que luego son verificados por la practica mas tarde.,FALSE,FALSE,A26Y4BFHJE7MN4,TRUE
un par,"No tienes por que creerme a mi, aca te pongo <strong>un par</strong> de referencias (solo una cantidad infima, de la inmensidad de publicaciones, papers, libros, etc, que se escribio sobre teoria del caos, sistemas complejos, redes complejas, grafos, sistemas dinamicos, teoria de la informacion, y demas temas relacionados):",FALSE,FALSE,A26Y4BFHJE7MN4,TRUE
espero,"realmente no creo que todo el mundo tenga ese impulso, yo no lo tengo, aunque lo tuve, ahora desde que tengo mas conocimientos y se lo que verdaderamente es necesario para mi felicidad, solo deseo controlarme mas a mi y a mi voluntad, el mundo que me rodea cada vez me importa menos y <strong>espero</strong> que siga asi hasta que llegue un punto en el que no me importe nada",FALSE,FALSE,A26Y4BFHJE7MN4,
creo,Si existiera tal ser nos pondría a muchos en susitio <strong>creo</strong> yo xD.,FALSE,FALSE,A26Y4BFHJE7MN4,FALSE
algunos,"Pero no me gusta que estos conceptos sean tomados como las ultimas verdades,porque si bien es cierto se puede ser complaciente con <strong>algunos</strong> se es incomplaciente con otros.",FALSE,FALSE,A26Y4BFHJE7MN4,TRUE
hay quien,"En realidad estoy solo siguiéndole el diálogo a Luxfero, pero en realidad no le obedecería a nadie que use solo el artificio de sus sesos para subyugarme, porque creo que no <strong>hay quien</strong> me venza, si no es antes por mi oratoria será después por mi obstinación que triunfaré.",FALSE,FALSE,A26Y4BFHJE7MN4,TRUE
necesariamente,"Lo cual no significa que uno <strong>necesariamente</strong> quiera darle validez a todas las ""verdades"" que existen.",FALSE,FALSE,A26Y4BFHJE7MN4,FALSE
quiza,"No lo creo, <strong>quiza</strong> te estés refiriendo a estar satisfecho con tu vida, eso si se puede controlar mas.",TRUE,FALSE,A25SGBOJZLYBJO,TRUE
diria,"En cualquier caso, lo que hace que triunfe una persona, concluyendo, <strong>diria</strong> que es al margen de si es cualitativamente mejor o peor.",FALSE,FALSE,A25SGBOJZLYBJO,TRUE
bastantes,"Por lo tanto hay situaciones, no todas, pero sí <strong>bastantes</strong>, en que colaborar es la opción inteligente y se puede demostrar formalmente.",FALSE,FALSE,A25SGBOJZLYBJO,TRUE
alguna,Muchas veces sin practica <strong>alguna</strong> se hacen descubrimientos operando sobre la teoria que luego son verificados por la practica mas tarde.,FALSE,FALSE,A25SGBOJZLYBJO,TRUE
un par,"No tienes por que creerme a mi, aca te pongo <strong>un par</strong> de referencias (solo una cantidad infima, de la inmensidad de publicaciones, papers, libros, etc, que se escribio sobre teoria del caos, sistemas complejos, redes complejas, grafos, sistemas dinamicos, teoria de la informacion, y demas temas relacionados):",FALSE,FALSE,A25SGBOJZLYBJO,TRUE
espero,"realmente no creo que todo el mundo tenga ese impulso, yo no lo tengo, aunque lo tuve, ahora desde que tengo mas conocimientos y se lo que verdaderamente es necesario para mi felicidad, solo deseo controlarme mas a mi y a mi voluntad, el mundo que me rodea cada vez me importa menos y <strong>espero</strong> que siga asi hasta que llegue un punto en el que no me importe nada",FALSE,FALSE,A25SGBOJZLYBJO,FALSE
creo,Si existiera tal ser nos pondría a muchos en susitio <strong>creo</strong> yo xD.,FALSE,FALSE,A25SGBOJZLYBJO,FALSE
algunos,"Pero no me gusta que estos conceptos sean tomados como las ultimas verdades,porque si bien es cierto se puede ser complaciente con <strong>algunos</strong> se es incomplaciente con otros.",FALSE,FALSE,A25SGBOJZLYBJO,FALSE
hay quien,"En realidad estoy solo siguiéndole el diálogo a Luxfero, pero en realidad no le obedecería a nadie que use solo el artificio de sus sesos para subyugarme, porque creo que no <strong>hay quien</strong> me venza, si no es antes por mi oratoria será después por mi obstinación que triunfaré.",FALSE,FALSE,A25SGBOJZLYBJO,TRUE
necesariamente,"Lo cual no significa que uno <strong>necesariamente</strong> quiera darle validez a todas las ""verdades"" que existen.",FALSE,FALSE,A25SGBOJZLYBJO,TRUE
generalmente,"De hecho las únicas mujeres que tienen un lugar social son las prostitutas, <strong>generalmente</strong> mujeres libres, que pagan sus impuestos y que frecuentan los banquetes y polemizan al mismo nivel que los hombres.",TRUE,TRUE,A4NG9Q4NHVXCV,FALSE
encuentro,"Intento descubrir de donde procede, al final <strong>encuentro</strong> una caja de color negro, pequeña, de forma rectangular, en la parte superior hay una rejilla y unos botones; ¿Qué será eso?... después de meditar unos minutos me doy cuenta de que se trata de una radio, una cosa que hacia años que no veía, me conformaré con ella.",FALSE,FALSE,A4NG9Q4NHVXCV,FALSE
algunos,"El esfuerzo teórico de Max Weber, el más importante sociólogo político del siglo XX, dará en cierta forma continuidad a esa reflexión iniciada tempranamente y romperá, al mismo tiempo, con <strong>algunos</strong> de esos presupuestos clásicos.",FALSE,FALSE,A4NG9Q4NHVXCV,TRUE
